quarter,strategy,tickers,return
2015-Q1,MOM,"['4661.T', '6594.T', '7270.T', '2802.T', '7741.T', '8035.T', '6758.T', '4519.T', '9022.T', '4901.T']",0.14275992061343096
2015-Q1,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.08289808875791041
2015-Q1,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.13193484690260773
2015-Q1,COMP,"['4661.T', '7270.T', '6594.T', '6758.T', '4519.T', '4063.T', '4901.T', '9022.T', '8035.T', '7733.T']",0.10672497806830131
2015-Q2,MOM,"['4661.T', '6758.T', '9022.T', '3407.T', '7741.T', '4523.T', '8035.T', '4543.T', '7270.T', '4901.T']",-0.006156447998862102
2015-Q2,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.020733696855040507
2015-Q2,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.037307990468206785
2015-Q2,COMP,"['4661.T', '6758.T', '9022.T', '3407.T', '4523.T', '8306.T', '7270.T', '6954.T', '4063.T', '4543.T']",0.003173112590983407
2015-Q3,MOM,"['6758.T', '4523.T', '4661.T', '4901.T', '7270.T', '6861.T', '8306.T', '6954.T', '2802.T', '9022.T']",-0.11055785161958923
2015-Q3,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.0921828228531682
2015-Q3,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.16999876087836713
2015-Q3,COMP,"['6758.T', '4523.T', '8306.T', '7270.T', '4901.T', '6954.T', '4661.T', '8316.T', '6971.T', '3407.T']",-0.11771604173009038
2015-Q4,MOM,"['4523.T', '8267.T', '4901.T', '2802.T', '6758.T', '9433.T', '9983.T', '7270.T', '6594.T', '9020.T']",0.07323989129693594
2015-Q4,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.07196590804504271
2015-Q4,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.10086711028411033
2015-Q4,COMP,"['4523.T', '4901.T', '8306.T', '6758.T', '7270.T', '8316.T', '9433.T', '6594.T', '4519.T', '8267.T']",0.07683305145380849
2016-Q1,MOM,"['4523.T', '4911.T', '8267.T', '9432.T', '4543.T', '4568.T', '4519.T', '9020.T', '4901.T', '2802.T']",-0.07622471476007446
