quarter,buy_date,sell_date,MOM_ret,MOM_tickers,VAL_ret,VAL_tickers,QUAL_ret,QUAL_tickers,COMP_ret,COMP_tickers,BM_ret
2015-Q1,2015-01-01,2015-04-01,,,,,,,,,
2015-Q2,2015-04-01,2015-07-01,,,,,,,,,
2015-Q3,2015-07-01,2015-10-01,,,,,,,,,
2015-Q4,2015-10-01,2016-01-01,,,,,,,,,
2016-Q1,2016-01-01,2016-04-01,,,,,,,,,
2016-Q2,2016-04-01,2016-07-01,,,,,,,,,
2016-Q3,2016-07-01,2016-10-01,,,,,,,,,
2016-Q4,2016-10-01,2017-01-01,,,,,,,,,
2017-Q1,2017-01-01,2017-04-01,,,,,,,,,
2017-Q2,2017-04-01,2017-07-01,,,,,,,,,
2017-Q3,2017-07-01,2017-10-01,,,,,,,,,
2017-Q4,2017-10-01,2018-01-01,,,,,,,,,
2018-Q1,2018-01-01,2018-04-01,,,,,,,,,
2018-Q2,2018-04-01,2018-07-01,,,,,,,,,
2018-Q3,2018-07-01,2018-10-01,,,,,,,,,
2018-Q4,2018-10-01,2019-01-01,,,,,,,,,
2019-Q1,2019-01-01,2019-04-01,,,,,,,,,
2019-Q2,2019-04-01,2019-07-01,,,,,,,,,
2019-Q3,2019-07-01,2019-10-01,,,,,,,,,
2019-Q4,2019-10-01,2020-01-01,,,,,,,,,
2020-Q1,2020-01-01,2020-04-01,,,,,,,,,
2020-Q2,2020-04-01,2020-07-01,,,,,,,,,
2020-Q3,2020-07-01,2020-10-01,,,,,,,,,
2020-Q4,2020-10-01,2021-01-01,,,,,,,,,
2021-Q1,2021-01-01,2021-04-01,,,,,,,,,
2021-Q2,2021-04-01,2021-07-01,,,,,,,,,
2021-Q3,2021-07-01,2021-10-01,,,,,,,,,
2021-Q4,2021-10-01,2022-01-01,,,,,,,,,
2022-Q1,2022-01-01,2022-04-01,,,,,,,,,
2022-Q2,2022-04-01,2022-07-01,,,,,,,,,
2022-Q3,2022-07-01,2022-10-01,,,,,,,,,
2022-Q4,2022-10-01,2023-01-01,,,,,,,,,
2023-Q1,2023-01-01,2023-04-01,,,,,,,,,
2023-Q2,2023-04-01,2023-07-01,,,,,,,,,
2023-Q3,2023-07-01,2023-10-01,,,,,,,,,
2023-Q4,2023-10-01,2024-01-01,,,,,,,,,
2024-Q1,2024-01-01,2024-04-01,,,,,,,,,
2024-Q2,2024-04-01,2024-07-01,,,,,,,,,
2024-Q3,2024-07-01,2024-10-01,,,,,,,,,
2024-Q4,2024-10-01,2025-01-01,,,,,,,,,
